dish_id,dish_name,dish_size,unit,price,category,location
184,GREEN PEPPER STEAK,420,g,89.99,Menu główne,Katowice
185,SURF & TURF 2.0,525,g,97.99,Menu główne,Katowice
186,HACHE STEAK,500,g,75.99,Menu główne,Katowice
187,CHICKEN & PESTO MAFALDINE,300,g,46.99,Menu główne,Katowice
188,SALVIA BUTTER RAVIOLI,190,g,44.99,Menu główne,Katowice
189,GREEN UDON,390,g,42.99,Menu główne,Katowice
190,GNOCCHI AL TARTUFO,380,g,39.99,Menu główne,Katowice
191,TAGLIOLINI & SHRIMPS,364,g,56.99,Menu główne,Katowice
192,CAESAR,620,G,34.99,Menu główne,Katowice
193,PASTRAMI SALAD,370,g,45.99,Menu główne,Katowice
194,AïOLI BREAKKIE PIZZA,28,cm,32.99,Śniadania,Katowice
195,AïOLI BREAKKIE PIZZA VEGE,28,cm,28.99,Śniadania,Katowice
196,TRUFFLE SCRAMBLE TOAST,310,g,29.99,Śniadania,Katowice
197,TURKISH EGGS,340,g,32.99,Śniadania,Katowice
198,BACON SANDWICH,400,g,34.99,Śniadania,Katowice
199,ENGLISH BREAKFAST,550,g,38.99,Śniadania,Katowice
200,HUEVOS RANCHEROS,430,g,36.99,Śniadania,Katowice
201,SALMON TOAST,310,g,42.99,Śniadania,Katowice
202,AVOCADO TOAST,330,g,34.99,Śniadania,Katowice
203,BENEDICT ALLA CRISPY PROSCIUTTO,315,g,35.99,Śniadania,Katowice
204,SYRNIKI VANILLA & RHUBARB,385,g,34.99,Śniadania,Katowice
